Voltage,Current,Temperature,Vibration,Fault
226.2,1.89,95.32,6.96,1
244.62,10.9,57.34,6.03,0
241.47,10.71,86.81,4.06,1
211.72,6.79,41.6,9.14,1
214.85,1.22,95.77,7.31,1
247.34,10.57,61.6,5.28,0
221.32,13.11,20.84,3.22,0
233.73,1.22,64.76,6.33,0
210.47,13.38,79.5,4.32,0
232.06,6.74,65.71,0.68,0
211.96,3.61,62.15,6.94,0
221.87,5.66,54.9,9.54,1
226.68,2.69,67.53,8.44,1
235.11,7.82,35.7,1.57,0
220.14,7.72,30.17,1.13,0
222.43,6.9,31.57,8.2,1
246.03,6.52,76.58,1.86,0
229.08,14.97,90.85,3.22,1
232.05,6.92,34.96,6.99,0
220.03,11.47,42.47,5.72,0
234.29,14.2,57.12,6.28,0
222.71,14.87,85.0,4.79,1
245.81,14.6,27.31,9.72,1
244.09,0.57,25.12,0.26,0
218.24,3.99,87.85,8.03,1
232.93,10.57,42.0,0.49,0
242.4,11.82,82.25,9.4,1
220.39,4.93,39.26,2.26,0
216.82,6.44,69.32,5.24,0
245.58,4.24,63.89,7.67,1
216.01,11.51,65.61,8.53,1
217.61,6.15,88.07,7.55,1
247.46,1.13,41.82,6.1,0
225.97,10.59,74.06,0.01,0
236.52,13.77,48.33,8.13,1
216.06,10.41,60.84,9.49,1
222.59,0.1,73.17,4.57,0
242.79,4.01,55.53,3.69,0
213.48,12.01,46.36,6.2,0
232.53,9.75,31.07,5.62,0
214.84,14.7,23.04,2.15,0
219.91,13.16,27.41,1.21,0
219.07,9.85,90.5,6.03,1
241.53,14.86,81.25,2.45,1
236.24,14.44,22.85,5.51,0
224.33,11.08,87.65,6.54,1
247.59,8.03,86.28,2.34,1
238.21,12.38,42.04,1.07,0
223.09,7.87,73.26,1.98,0
225.67,10.87,47.03,1.13,0
228.42,2.34,95.74,4.22,1
242.03,6.42,44.82,6.84,0
215.56,3.48,42.03,3.92,0
246.71,1.83,21.46,1.9,0
222.68,6.91,48.67,1.24,0
213.75,2.54,34.17,7.88,1
229.18,13.46,77.38,1.39,0
249.24,13.63,33.34,4.55,0
238.32,1.85,79.27,6.64,0
222.22,11.41,46.59,7.83,1
224.94,8.6,89.5,2.38,1
244.21,13.37,22.78,6.54,0
234.66,9.95,37.54,4.45,0
235.49,9.64,27.22,0.46,0
246.46,9.56,40.62,9.91,1
233.04,2.4,79.19,6.59,0
215.34,3.02,53.97,8.09,1
220.11,6.75,54.91,7.22,1
240.42,3.01,42.88,9.48,1
217.1,5.91,45.58,1.56,0
212.06,10.98,69.8,7.07,1
246.86,12.08,62.35,3.35,0
238.62,6.41,81.19,1.27,1
248.96,5.86,59.08,1.89,0
231.74,2.74,29.35,3.91,0
