Age,Gender,Genre_Pref,Listening_Hours,Song_Category
23,Male,Classical,4.8,Workout
23,Male,Classical,2.7,Chill
40,Female,Classical,0.9,Workout
32,Male,Rock,5.3,Workout
19,Female,Pop,3.7,Party
42,Female,Pop,4.5,Chill
37,Male,Rock,3.0,Party
60,Male,Classical,2.6,Party
35,Male,Rock,0.9,Party
46,Female,Classical,5.4,Workout
17,Male,Classical,5.8,Chill
57,Female,Jazz,2.8,Chill
48,Male,Hip-Hop,5.5,Focus
26,Female,Jazz,5.7,Workout
42,Female,Rock,2.4,Chill
15,Female,Jazz,0.6,Party
46,Male,Rock,1.1,Focus
56,Female,Rock,4.1,Chill
60,Female,Jazz,2.6,Chill
27,Male,Pop,2.9,Focus
30,Male,Hip-Hop,5.3,Workout
25,Male,Rock,5.7,Focus
37,Female,Pop,3.7,Chill
48,Male,Rock,3.8,Workout
29,Female,Hip-Hop,5.2,Chill
33,Female,Jazz,4.3,Workout
37,Male,Pop,5.4,Workout
25,Male,Pop,5.8,Workout
21,Female,Jazz,3.0,Focus
44,Male,Rock,5.6,Focus
45,Male,Rock,4.0,Workout
36,Male,Classical,4.5,Focus
17,Female,Pop,2.4,Workout
59,Male,Classical,3.9,Party
58,Female,Rock,4.8,Focus
39,Male,Classical,1.2,Workout
35,Female,Rock,5.6,Party
52,Female,Classical,1.3,Chill
15,Female,Rock,3.2,Chill
60,Female,Hip-Hop,6.0,Focus
52,Female,Jazz,3.1,Workout
45,Male,Pop,3.8,Chill
19,Male,Pop,2.1,Workout
20,Female,Classical,2.0,Focus
31,Female,Rock,5.5,Focus
56,Female,Hip-Hop,4.9,Party
41,Male,Hip-Hop,1.4,Party
51,Female,Hip-Hop,5.5,Chill
20,Male,Jazz,5.4,Party
58,Female,Classical,5.4,Workout
19,Female,Pop,2.5,Chill
28,Female,Jazz,4.4,Workout
48,Male,Jazz,1.7,Party
44,Male,Pop,4.2,Workout
47,Female,Classical,2.3,Party
18,Male,Hip-Hop,3.2,Chill
32,Female,Rock,6.0,Party
58,Male,Rock,5.6,Party
29,Male,Classical,2.6,Focus
23,Male,Rock,4.2,Workout
30,Male,Pop,0.8,Workout
42,Male,Classical,6.0,Focus
42,Male,Pop,2.2,Focus
52,Male,Hip-Hop,5.4,Focus
51,Male,Hip-Hop,5.8,Workout
33,Male,Hip-Hop,2.5,Party
50,Female,Jazz,4.9,Focus
36,Male,Rock,1.8,Focus
29,Female,Rock,1.3,Workout
47,Female,Hip-Hop,0.7,Workout
47,Male,Jazz,4.0,Party
59,Female,Jazz,3.4,Workout
39,Female,Pop,2.0,Workout
55,Female,Classical,2.8,Party
29,Female,Classical,1.6,Focus
46,Female,Rock,1.5,Chill
43,Female,Rock,4.3,Workout
59,Female,Classical,4.2,Chill
27,Male,Pop,2.7,Party
21,Female,Jazz,4.4,Workout
28,Male,Hip-Hop,5.2,Workout
44,Female,Rock,1.8,Chill
59,Female,Classical,5.0,Workout
43,Female,Rock,2.8,Chill
46,Female,Rock,2.6,Chill
36,Female,Pop,0.6,Focus
36,Female,Pop,1.1,Chill
37,Male,Classical,2.2,Party
55,Male,Hip-Hop,1.6,Party
53,Male,Hip-Hop,4.3,Chill
17,Male,Pop,0.9,Party
57,Female,Rock,4.5,Party
57,Male,Jazz,5.3,Party
50,Female,Rock,3.5,Party
27,Female,Classical,3.6,Chill
34,Female,Pop,4.0,Chill
33,Female,Pop,5.7,Chill
59,Female,Rock,4.3,Focus
57,Female,Pop,3.4,Chill
50,Female,Hip-Hop,1.6,Chill
55,Female,Rock,3.6,Chill
43,Female,Jazz,1.9,Focus
26,Female,Classical,2.5,Workout
23,Male,Pop,4.9,Focus
50,Male,Hip-Hop,3.1,Chill
36,Female,Pop,2.1,Chill
54,Female,Classical,5.8,Chill
33,Male,Rock,5.8,Focus
29,Male,Jazz,5.8,Focus
52,Male,Rock,4.3,Party
54,Female,Rock,5.4,Chill
38,Female,Rock,4.9,Party
19,Male,Rock,3.7,Party
51,Male,Rock,3.0,Focus
43,Male,Classical,4.9,Workout
54,Female,Classical,1.6,Focus
33,Male,Rock,4.2,Party
53,Female,Pop,4.1,Workout
42,Male,Jazz,3.0,Chill
30,Female,Rock,4.8,Party
16,Male,Rock,1.7,Chill
31,Male,Hip-Hop,4.1,Focus
46,Male,Classical,3.9,Focus
48,Male,Jazz,3.8,Chill
27,Male,Rock,5.1,Chill
26,Male,Rock,4.7,Focus
54,Male,Jazz,5.6,Focus
22,Male,Jazz,3.7,Workout
24,Female,Pop,3.3,Workout
40,Male,Pop,5.1,Party
32,Female,Classical,1.5,Workout
55,Female,Pop,1.4,Party
19,Male,Rock,4.5,Workout
30,Female,Pop,3.4,Workout
28,Female,Jazz,5.8,Chill
50,Female,Pop,2.9,Focus
50,Female,Hip-Hop,1.7,Focus
54,Female,Classical,4.7,Chill
28,Female,Hip-Hop,0.8,Party
29,Female,Jazz,0.7,Party
28,Female,Classical,4.9,Focus
24,Male,Jazz,5.3,Focus
54,Female,Jazz,0.9,Party
48,Male,Hip-Hop,0.9,Workout
30,Female,Classical,1.2,Chill
39,Male,Rock,1.0,Workout
27,Male,Rock,4.5,Party
58,Female,Rock,2.3,Focus
32,Male,Pop,0.6,Party
58,Male,Pop,1.1,Chill
55,Female,Jazz,4.2,Chill
27,Female,Rock,2.1,Focus
55,Female,Pop,0.6,Focus
39,Male,Pop,4.6,Workout
16,Female,Rock,3.6,Chill
50,Male,Pop,2.5,Party
56,Male,Hip-Hop,4.2,Chill
56,Male,Hip-Hop,2.5,Party
56,Female,Jazz,0.6,Focus
37,Male,Classical,2.6,Workout
35,Male,Jazz,1.4,Focus
26,Male,Rock,5.0,Focus
40,Female,Jazz,5.7,Workout
59,Female,Jazz,4.2,Chill
26,Male,Pop,4.4,Workout
17,Female,Jazz,3.1,Party
36,Male,Jazz,1.7,Party
57,Female,Jazz,3.4,Chill
16,Female,Classical,1.9,Focus
32,Male,Pop,4.9,Workout
59,Male,Jazz,3.5,Chill
32,Male,Hip-Hop,3.5,Focus
34,Male,Jazz,5.0,Workout
36,Male,Hip-Hop,1.9,Workout
38,Male,Hip-Hop,2.5,Party
55,Male,Jazz,2.3,Party
56,Female,Jazz,1.9,Focus
54,Male,Classical,0.7,Focus
33,Female,Rock,3.3,Focus
44,Female,Pop,3.8,Workout
32,Female,Classical,4.2,Focus
