Temp_C,Humidity,Wind_kmh,Pressure_hPa,Season,Rain_Today
28.8,24,15.1,1045.3,Autumn,0
34.1,77,4.0,1041.3,Winter,1
38.9,38,2.3,1023.1,Summer,0
22.9,57,5.4,1047.9,Autumn,1
33.5,84,38.0,1042.1,Summer,1
34.5,22,39.5,1048.9,Autumn,0
31.3,48,18.2,988.6,Spring,0
32.1,20,12.6,1024.4,Autumn,0
18.8,47,27.0,1019.1,Spring,0
24.9,22,27.7,1010.9,Spring,0
12.7,90,8.3,1037.7,Summer,1
23.8,50,1.5,1030.7,Autumn,0
18.9,60,26.7,1019.0,Spring,1
27.2,80,12.6,1029.8,Winter,1
6.4,53,3.2,1007.9,Spring,0
41.0,30,13.1,1016.9,Spring,0
15.1,88,23.9,992.0,Summer,1
33.0,53,8.7,1036.7,Summer,0
38.2,57,15.1,999.5,Winter,1
20.8,93,8.4,996.4,Autumn,0
32.2,62,14.9,1013.5,Autumn,1
28.2,81,5.0,1009.0,Autumn,1
23.2,42,0.1,1012.8,Autumn,0
10.4,36,25.0,989.4,Spring,0
38.6,46,39.5,987.3,Spring,0
16.7,81,15.4,1036.7,Autumn,0
22.3,64,38.9,995.5,Autumn,1
20.6,38,35.0,1041.2,Winter,0
37.4,53,32.3,1024.4,Winter,0
22.4,94,11.9,1005.3,Autumn,1
24.9,89,23.7,1040.3,Autumn,1
35.7,58,4.8,1022.3,Autumn,1
28.0,20,39.0,986.4,Summer,0
28.8,34,28.9,1043.5,Autumn,0
27.7,56,39.6,988.6,Spring,0
18.5,22,2.3,1035.4,Winter,0
22.3,35,35.8,1011.6,Winter,0
32.6,96,36.6,1012.9,Autumn,0
27.8,95,7.3,1029.0,Spring,1
23.6,73,22.8,980.0,Summer,0
25.8,89,9.6,1004.3,Autumn,1
24.4,49,9.9,1031.4,Autumn,0
15.6,52,8.8,1026.9,Winter,0
23.8,29,27.5,1016.1,Summer,0
22.0,78,10.5,1021.7,Summer,1
11.9,96,28.1,1008.4,Spring,1
42.0,81,23.6,1001.3,Summer,0
24.8,90,37.3,1043.3,Summer,0
18.8,58,19.4,1023.4,Autumn,1
17.0,63,7.7,1012.0,Winter,1
6.7,47,31.7,1044.8,Autumn,0
17.6,62,0.8,1045.8,Summer,0
31.3,43,22.8,1009.6,Autumn,0
25.5,22,28.1,1005.9,Summer,0
30.4,33,13.9,999.8,Winter,0
29.0,82,10.3,1041.6,Summer,0
21.9,68,36.9,1041.2,Autumn,1
