Area_sqft,Bedrooms,Bathrooms,City_Tier,Furnishing,Price
3285,1,2,2,Unfurnished,18896897.02
1410,2,4,3,Furnished,13662192.16
3099,1,2,1,Furnished,30237367.15
4711,1,3,3,Semi-Furnished,20042389.91
1470,5,4,2,Semi-Furnished,3609427.81
3325,1,3,2,Furnished,22169914.2
4266,5,4,3,Unfurnished,18699491.73
2900,3,2,3,Furnished,27105712.56
1043,1,3,2,Unfurnished,3674208.35
4143,1,2,1,Semi-Furnished,11873820.54
3902,3,1,3,Unfurnished,14440992.09
3742,1,2,1,Unfurnished,14703779.41
4148,4,4,2,Unfurnished,14848350.34
2025,4,1,3,Unfurnished,18678212.77
3892,4,2,3,Semi-Furnished,33379010.63
1599,1,4,1,Semi-Furnished,15263906.53
3373,2,2,2,Semi-Furnished,8195612.6
4161,3,1,1,Unfurnished,10185094.58
4023,5,4,3,Unfurnished,22851739.52
3306,5,3,1,Semi-Furnished,22456695.88
4465,4,4,3,Unfurnished,33531866.71
1809,2,4,1,Furnished,5223457.7
2488,4,3,3,Semi-Furnished,16423652.22
506,3,1,3,Unfurnished,3549727.88
747,5,4,2,Furnished,5218261.89
543,2,4,1,Furnished,4301049.7
3855,5,3,2,Furnished,23394994.17
821,1,4,2,Furnished,2264307.41
1632,3,4,1,Semi-Furnished,6317635.58
1431,5,1,1,Unfurnished,6369986.69
2407,3,4,3,Semi-Furnished,21673633.11
2408,3,3,1,Furnished,8362872.17
3663,1,4,2,Furnished,16228812.32
2020,1,2,2,Semi-Furnished,6078425.32
3318,3,2,2,Unfurnished,32398393.43
1762,2,1,2,Unfurnished,9005808.15
3977,5,3,2,Unfurnished,19410994.51
2108,5,1,1,Furnished,16666987.73
4853,4,4,3,Furnished,18133381.99
4366,4,3,3,Furnished,34634844.63
4246,4,3,3,Semi-Furnished,16085314.72
4747,3,1,2,Unfurnished,20365918.22
909,2,4,3,Semi-Furnished,8514734.13
2988,2,3,2,Furnished,25857939.33
716,1,2,1,Semi-Furnished,2042686.2
633,5,4,1,Unfurnished,3479484.66
4100,3,4,1,Semi-Furnished,12298896.78
1904,5,1,2,Semi-Furnished,9804905.15
4510,1,2,3,Unfurnished,14985601.21
745,3,3,3,Furnished,6386033.27
2476,4,3,3,Semi-Furnished,23724065.18
3521,4,4,2,Unfurnished,23703442.5
4915,4,1,1,Unfurnished,46667485.88
1301,3,2,2,Semi-Furnished,10991083.82
3699,3,3,2,Unfurnished,11400994.1
4323,5,3,2,Unfurnished,38125698.39
1036,2,4,3,Unfurnished,3804315.77
2939,3,2,1,Furnished,9309413.61
2436,2,3,3,Semi-Furnished,22254321.2
1405,1,4,3,Furnished,13782395.64
2754,1,1,2,Furnished,6693678.6
3576,2,1,2,Semi-Furnished,18577137.66
4712,4,1,3,Unfurnished,33395683.78
626,5,4,2,Semi-Furnished,5648884.11
4042,2,2,1,Semi-Furnished,18150213.35
587,2,4,3,Semi-Furnished,4063906.14
831,4,4,2,Furnished,2123280.28
752,2,2,2,Furnished,5843350.09
3336,3,1,1,Unfurnished,10869691.86
1905,5,1,1,Semi-Furnished,9700732.44
4332,3,2,1,Unfurnished,39716644.58
4889,1,2,2,Furnished,15751662.64
1815,4,2,1,Semi-Furnished,6116698.85
4969,1,2,3,Semi-Furnished,14230567.55
1004,2,3,3,Semi-Furnished,9833748.74
740,1,1,1,Semi-Furnished,5041692.97
4190,1,2,3,Unfurnished,29537682.41
4179,1,4,1,Furnished,38590490.89
1995,5,2,3,Semi-Furnished,5732822.13
1323,2,1,1,Unfurnished,7876092.25
3461,4,1,2,Unfurnished,18232645.7
3760,1,4,1,Semi-Furnished,32203943.03
1056,5,4,3,Unfurnished,8896009.47
4599,1,4,1,Unfurnished,23657588.42
1288,1,2,3,Semi-Furnished,4045662.93
4683,4,2,1,Semi-Furnished,22689489.77
3923,4,3,2,Furnished,27445419.78
3548,1,4,3,Furnished,31030117.7
4631,5,2,3,Unfurnished,9527626.42
2753,4,1,2,Semi-Furnished,27351684.44
3904,4,1,1,Semi-Furnished,34450179.21
3823,4,4,1,Semi-Furnished,31053817.71
982,3,4,3,Unfurnished,3955468.91
2060,4,2,3,Semi-Furnished,6582811.84
1196,3,1,2,Furnished,11322922.33
3885,4,1,1,Furnished,16184932.47
563,4,1,2,Furnished,2072575.17
3901,3,1,3,Furnished,20415504.04
4600,2,1,1,Semi-Furnished,9935035.43
894,1,4,3,Semi-Furnished,4014899.22
4900,2,3,2,Furnished,27469517.69
664,3,2,1,Semi-Furnished,2676041.67
1989,3,1,1,Semi-Furnished,18487965.65
2800,1,1,1,Semi-Furnished,12060801.64
3326,3,3,2,Furnished,17093932.97
1252,4,3,2,Unfurnished,11937848.38
2853,5,4,1,Semi-Furnished,11926157.1
4632,5,3,3,Furnished,43640470.59
1365,1,1,1,Furnished,6227267.31
4201,5,1,3,Semi-Furnished,28817297.9
2219,1,4,3,Semi-Furnished,9001164.19
2342,3,4,3,Unfurnished,18439944.31
2841,3,1,3,Unfurnished,26420491.62
1004,1,2,1,Unfurnished,5154899.15
3073,3,1,1,Furnished,25238544.97
1803,1,2,2,Furnished,6032422.14
4272,3,2,1,Unfurnished,39821392.1
3529,3,2,1,Semi-Furnished,16065170.0
4476,3,1,3,Furnished,34428052.52
1236,1,4,1,Unfurnished,6169127.68
1544,5,3,1,Semi-Furnished,8013121.79
4435,1,1,1,Semi-Furnished,18595600.96
4106,3,1,3,Unfurnished,12350406.89
751,2,1,2,Unfurnished,3885426.09
2800,2,4,2,Semi-Furnished,5705193.63
4817,1,4,3,Semi-Furnished,13751395.57
1428,5,3,1,Semi-Furnished,8278274.82
3426,4,1,2,Unfurnished,14986748.0
4313,4,1,1,Semi-Furnished,10827354.16
4580,4,4,2,Semi-Furnished,15961405.7
1664,5,1,3,Semi-Furnished,15771851.67
910,1,1,3,Semi-Furnished,8938515.5
4236,5,3,3,Semi-Furnished,23916617.48
2077,3,1,3,Furnished,5289015.86
3767,1,3,3,Furnished,36402728.22
2854,4,3,2,Unfurnished,10172257.17
856,4,2,3,Furnished,7199535.54
2607,5,4,3,Unfurnished,8395531.27
4771,4,3,1,Furnished,27683232.29
3659,1,4,2,Semi-Furnished,18117108.53
1591,4,2,2,Semi-Furnished,11282396.56
3899,5,2,3,Semi-Furnished,13829239.7
2680,3,1,2,Unfurnished,14372948.63
4403,3,1,1,Semi-Furnished,17125603.78
2736,2,4,1,Unfurnished,12385387.13
1902,3,2,2,Unfurnished,10663695.68
4984,1,1,3,Semi-Furnished,48920262.54
2294,3,4,3,Unfurnished,22848301.68
3829,2,4,3,Unfurnished,20769871.85
2495,1,3,2,Semi-Furnished,14628894.71
3553,2,1,2,Furnished,35006268.34
944,4,3,1,Unfurnished,3488031.22
2484,3,2,1,Semi-Furnished,18155748.67
3847,2,3,1,Semi-Furnished,11070180.57
3807,2,1,1,Semi-Furnished,15313500.64
1241,4,4,1,Furnished,7335406.85
1686,2,1,2,Semi-Furnished,5644325.14
1830,1,2,3,Unfurnished,4416311.67
1061,2,4,1,Furnished,4913808.36
1324,3,2,2,Unfurnished,5203999.18
4334,5,1,3,Semi-Furnished,22375020.63
1727,3,3,2,Semi-Furnished,8939227.36
1642,4,1,2,Unfurnished,3948237.18
1279,4,4,3,Furnished,9781580.68
993,1,1,3,Semi-Furnished,2390224.24
2300,2,1,2,Unfurnished,19061350.37
1925,5,2,1,Furnished,11327777.79
2465,2,2,3,Furnished,20686176.97
4244,3,3,1,Semi-Furnished,11126000.73
877,5,2,2,Furnished,2519496.73
4399,1,3,3,Semi-Furnished,43918238.74
985,3,1,3,Furnished,3124276.44
2095,4,1,1,Unfurnished,20739989.2
3977,3,3,1,Unfurnished,13319693.37
614,4,1,3,Unfurnished,1773603.27
2307,1,2,1,Furnished,12846937.81
3117,5,2,1,Semi-Furnished,16055841.61
1243,3,2,2,Furnished,12309323.85
4583,3,3,2,Furnished,43311245.03
1056,2,3,2,Semi-Furnished,4127986.87
2702,3,2,3,Furnished,16595920.39
4723,5,2,1,Furnished,40193879.38
4476,3,1,3,Semi-Furnished,14506771.5
1750,4,1,3,Furnished,9871824.26
3335,3,1,3,Unfurnished,18970554.86
4274,2,4,2,Unfurnished,34095320.24
4528,2,3,3,Unfurnished,28545009.06
4445,4,4,3,Furnished,24263918.17
3174,3,2,3,Unfurnished,9182654.07
3994,2,1,2,Semi-Furnished,16620824.5
4671,2,3,2,Furnished,14812196.33
4639,5,3,3,Furnished,36176212.61
2375,1,2,2,Furnished,23033512.48
1955,2,1,1,Unfurnished,12773548.75
2520,2,3,1,Semi-Furnished,6226022.46
1665,4,1,3,Unfurnished,8093516.21
586,3,3,3,Furnished,2985325.29
2748,2,1,3,Furnished,10446701.2
3180,3,3,1,Semi-Furnished,27281222.57
3184,1,2,1,Unfurnished,26101706.98
3417,3,3,2,Unfurnished,20080483.13
3350,5,1,3,Furnished,10609776.09
3603,2,4,3,Unfurnished,11334152.57
2827,2,1,3,Semi-Furnished,12917679.93
2790,2,1,2,Unfurnished,18617685.58
4434,4,1,2,Semi-Furnished,26385749.69
1160,4,3,2,Unfurnished,6291344.09
1007,1,4,3,Furnished,5429399.51
1475,1,4,1,Semi-Furnished,14729659.92
3891,5,1,3,Semi-Furnished,28501839.89
651,1,3,2,Semi-Furnished,1436657.1
969,4,3,2,Unfurnished,2445309.22
4781,3,1,2,Unfurnished,21281996.96
2177,4,3,3,Semi-Furnished,11743864.01
2667,4,1,3,Semi-Furnished,14796121.68
4374,2,1,3,Unfurnished,37252484.5
4468,2,3,3,Semi-Furnished,28528409.54
2388,2,3,1,Furnished,10883149.56
2262,4,3,3,Unfurnished,12615058.71
2118,1,3,1,Semi-Furnished,5803083.3
2785,5,2,3,Furnished,9628252.56
4127,4,3,1,Semi-Furnished,20235232.95
4102,2,3,2,Semi-Furnished,29721920.85
2417,4,4,2,Unfurnished,11808439.05
2581,3,1,1,Semi-Furnished,5974355.23
2635,1,4,1,Furnished,5992359.96
1442,1,4,3,Unfurnished,5279244.52
3330,4,2,1,Semi-Furnished,27763080.76
4730,2,1,3,Semi-Furnished,44512988.44
737,4,3,1,Furnished,1517064.31
2860,1,2,2,Furnished,16452241.03
4183,3,3,2,Semi-Furnished,31779711.08
4574,5,2,3,Furnished,42009395.53
1974,3,4,1,Furnished,12220640.59
3681,5,2,1,Furnished,34461366.78
2354,5,1,2,Semi-Furnished,9630548.55
3940,2,3,3,Semi-Furnished,38034118.49
4458,2,2,2,Unfurnished,26760716.29
2203,2,3,3,Semi-Furnished,6517814.42
4432,5,1,3,Unfurnished,19119314.84
4548,3,3,1,Semi-Furnished,31233185.57
3102,1,2,1,Furnished,25482627.2
1434,3,2,1,Unfurnished,8606566.18
4131,2,2,1,Furnished,9099542.6
4116,3,3,2,Unfurnished,31360669.64
4587,3,4,2,Semi-Furnished,15160153.61
3270,4,2,3,Furnished,7845091.95
2474,5,1,3,Unfurnished,16737794.15
3213,4,3,3,Furnished,8439785.29
2994,3,4,1,Semi-Furnished,26160081.09
4753,2,2,1,Unfurnished,24677472.11
3835,5,3,3,Furnished,20345511.52
3002,1,4,1,Unfurnished,23587885.91
971,4,1,2,Unfurnished,9614113.71
3474,3,1,3,Semi-Furnished,31056909.95
1473,4,4,1,Furnished,10731612.77
4284,3,4,1,Unfurnished,30984545.75
1466,1,4,3,Unfurnished,10945928.77
1654,2,3,3,Unfurnished,11808427.01
1243,3,2,1,Furnished,11731665.46
4778,2,4,2,Furnished,35354885.63
1114,1,3,3,Furnished,3304167.55
2159,5,1,3,Semi-Furnished,19563939.62
4930,3,2,3,Semi-Furnished,25062749.38
1640,3,3,1,Semi-Furnished,4059562.58
3078,1,2,3,Furnished,25927691.07
4080,1,3,3,Semi-Furnished,12357557.82
1237,2,2,3,Furnished,4954644.64
3475,2,2,2,Furnished,33641440.35
4029,4,1,3,Unfurnished,14112818.78
3351,3,3,3,Furnished,8913501.57
1146,3,2,3,Furnished,2978126.73
2999,5,2,3,Unfurnished,15422675.05
801,2,4,1,Semi-Furnished,6547733.11
2005,1,4,2,Semi-Furnished,11391575.77
1413,4,1,2,Semi-Furnished,7688988.65
4491,4,2,3,Furnished,39644202.72
4399,2,1,3,Semi-Furnished,39636668.22
4580,1,4,1,Unfurnished,13407980.24
3426,4,4,1,Semi-Furnished,12726516.2
1100,1,3,1,Semi-Furnished,6392296.76
3975,3,2,1,Semi-Furnished,26056574.53
2361,5,1,2,Unfurnished,14217616.08
874,3,3,3,Furnished,4725101.29
1197,3,3,1,Unfurnished,11051525.03
1455,2,2,3,Unfurnished,6871471.63
1355,2,2,2,Unfurnished,11065907.97
3570,3,2,3,Furnished,9613765.77
2326,1,4,3,Semi-Furnished,8557429.97
2572,2,2,2,Semi-Furnished,18366708.61
2967,1,4,1,Furnished,26642518.12
621,5,4,1,Furnished,1355193.9
2713,5,3,2,Unfurnished,5803802.22
525,4,3,2,Semi-Furnished,2966693.41
1383,1,4,3,Semi-Furnished,11004814.64
1211,4,1,1,Semi-Furnished,10365603.64
2058,2,3,1,Furnished,7660737.91
1051,5,2,2,Furnished,8410059.71
4017,1,3,3,Furnished,13841020.28
1150,4,2,3,Furnished,7428283.9
2923,1,2,2,Furnished,28316458.99
4380,2,2,3,Unfurnished,43145203.54
2566,2,2,3,Furnished,12005047.38
2951,1,3,1,Semi-Furnished,12296984.2
4865,3,1,3,Furnished,46087370.65
4238,3,1,3,Furnished,32240186.95
2585,4,2,3,Furnished,12704132.04
4509,1,3,3,Semi-Furnished,11178926.43
4724,1,2,1,Furnished,14698386.91
4370,4,4,1,Unfurnished,12876453.86
2351,2,1,1,Semi-Furnished,19193739.02
1918,3,2,2,Furnished,7028374.46
2253,2,4,3,Furnished,5942179.46
3678,1,2,1,Furnished,10425717.67
4696,4,4,1,Unfurnished,44459244.16
1115,2,4,2,Semi-Furnished,3808014.76
2458,2,2,1,Furnished,14743288.34
2165,1,3,1,Semi-Furnished,17273703.07
2684,4,3,3,Unfurnished,17126624.58
599,3,1,2,Unfurnished,3641410.05
3802,4,2,2,Furnished,32131768.51
2615,5,4,1,Unfurnished,22597422.14
2984,3,3,1,Unfurnished,9401908.06
848,2,2,3,Unfurnished,2090524.78
779,2,3,1,Furnished,3580545.15
1866,5,3,3,Unfurnished,11923511.45
1947,3,3,3,Semi-Furnished,14535679.32
3192,3,2,1,Unfurnished,8682745.7
3540,4,2,2,Furnished,16465858.56
2137,5,2,1,Furnished,16452404.22
1079,2,1,2,Semi-Furnished,8760831.05
786,5,3,3,Semi-Furnished,4586147.83
4176,4,1,1,Semi-Furnished,21547119.41
2866,5,2,2,Unfurnished,22773345.7
3319,1,1,1,Furnished,32688047.73
2696,3,4,3,Semi-Furnished,22100676.21
1506,5,4,1,Semi-Furnished,11396616.19
2431,1,3,1,Semi-Furnished,22263235.75
1968,4,1,2,Unfurnished,10430500.93
3698,5,1,2,Furnished,11965885.94
1599,4,1,2,Semi-Furnished,15659398.77
1312,4,3,1,Unfurnished,11975307.37
1057,5,4,2,Unfurnished,8694341.43
1458,4,4,2,Furnished,12931475.34
3295,3,3,3,Furnished,21374924.48
1939,4,3,3,Unfurnished,13478103.67
4975,4,3,1,Semi-Furnished,11966979.76
2740,5,1,1,Unfurnished,21147981.24
1558,1,2,1,Semi-Furnished,5463297.12
1803,5,2,2,Semi-Furnished,12140449.52
1858,5,1,3,Semi-Furnished,14041977.28
1426,5,1,3,Furnished,12752686.52
3713,5,2,1,Unfurnished,21752871.25
1660,5,2,3,Unfurnished,14730053.2
3324,1,3,1,Semi-Furnished,25726097.55
4758,3,2,1,Semi-Furnished,40059218.31
2970,1,3,1,Semi-Furnished,7262344.12
1067,3,1,2,Furnished,5964626.12
2317,5,3,1,Furnished,12467526.31
3478,2,1,1,Semi-Furnished,17611141.69
4112,2,3,3,Furnished,32238061.41
3425,1,2,1,Unfurnished,7741246.19
4415,4,3,1,Unfurnished,13814782.12
2594,4,2,1,Unfurnished,14691087.09
784,4,4,3,Semi-Furnished,2080654.8
3474,3,1,3,Semi-Furnished,11784192.33
4818,3,2,3,Unfurnished,37014682.15
2498,2,4,2,Furnished,14085650.72
1955,4,4,3,Unfurnished,10569038.89
4940,3,3,3,Furnished,39723270.74
1739,2,3,1,Furnished,11431757.72
4011,5,2,2,Unfurnished,33398563.65
3491,2,3,1,Furnished,22810155.89
4470,1,3,2,Unfurnished,43616964.81
3048,2,2,3,Semi-Furnished,8033788.34
516,1,1,1,Furnished,1842628.87
3769,5,4,2,Furnished,23128749.35
1094,5,1,2,Furnished,8557942.07
1868,4,2,2,Furnished,12325334.69
3936,4,1,3,Furnished,28081955.12
1817,1,4,3,Unfurnished,7664766.16
1766,5,1,1,Furnished,10757615.46
763,4,3,1,Unfurnished,2139386.47
3678,4,1,3,Unfurnished,36489895.03
2825,3,1,1,Unfurnished,10594662.85
2669,1,2,2,Unfurnished,9319417.01
1295,3,4,3,Unfurnished,10154072.73
3926,3,3,2,Furnished,23306318.54
4559,5,4,3,Furnished,39974403.93
1226,2,3,2,Semi-Furnished,9208308.11
1781,4,3,1,Semi-Furnished,10075772.66
1569,1,4,3,Unfurnished,4746828.42
2153,1,4,3,Furnished,19949919.11
4007,3,1,3,Unfurnished,39766951.09
3335,5,1,2,Unfurnished,10897747.83
2198,2,1,1,Unfurnished,12520288.31
4001,2,3,1,Unfurnished,18624684.6
2933,5,1,3,Unfurnished,13739148.35
3158,5,2,2,Unfurnished,29295291.56
1716,4,3,2,Furnished,11688893.8
4768,1,1,3,Semi-Furnished,25830678.5
4468,4,1,2,Furnished,18507746.95
1954,3,1,3,Semi-Furnished,12538074.29
722,4,2,2,Semi-Furnished,5341536.01
2502,1,2,3,Furnished,14801424.67
2828,2,1,1,Furnished,28101306.77
4286,4,1,3,Unfurnished,23776637.76
1776,3,4,3,Furnished,10532356.12
3819,4,3,3,Furnished,28116371.15
1034,2,3,3,Semi-Furnished,9397903.15
3639,5,4,3,Semi-Furnished,22614754.05
3769,2,2,2,Unfurnished,35865304.3
4134,3,4,2,Unfurnished,20120274.2
2201,4,2,1,Unfurnished,19444914.05
1832,4,4,2,Unfurnished,5721000.9
3946,1,1,1,Unfurnished,14250634.38
4445,5,4,1,Furnished,26288372.86
4432,3,2,1,Semi-Furnished,16448484.6
2647,3,3,1,Semi-Furnished,7410733.31
4935,3,2,2,Semi-Furnished,42670314.39
1321,1,4,2,Furnished,3456226.8
2682,4,1,3,Semi-Furnished,24970311.38
3207,1,1,2,Furnished,6823480.75
2581,4,3,3,Unfurnished,21350453.89
1885,2,3,2,Unfurnished,12624688.99
695,5,2,3,Semi-Furnished,6286441.03
1181,5,2,2,Semi-Furnished,8025863.43
1965,4,1,1,Furnished,9606315.5
3662,3,4,1,Furnished,31340105.42
1246,2,3,2,Semi-Furnished,7788330.59
1065,1,3,1,Furnished,3171230.39
1137,3,1,2,Furnished,7317718.03
1973,5,2,3,Semi-Furnished,6272125.36
3658,3,2,3,Furnished,25957461.05
1672,4,4,1,Furnished,11922684.19
3119,2,1,2,Unfurnished,16124725.27
1194,2,1,3,Unfurnished,6523275.78
909,4,3,3,Semi-Furnished,4135674.86
2337,4,1,1,Semi-Furnished,14074249.32
1344,1,3,2,Unfurnished,10523695.41
4660,1,4,1,Semi-Furnished,14676992.11
3491,3,3,3,Unfurnished,8280495.82
3178,3,1,1,Unfurnished,30008529.38
526,5,1,1,Furnished,4335482.32
4031,4,2,3,Furnished,10558332.59
2274,5,1,3,Unfurnished,10948479.94
1831,2,1,2,Furnished,15258481.7
3775,2,1,2,Unfurnished,33870360.64
4541,2,1,1,Furnished,23256981.43
732,2,2,1,Furnished,5917318.13
3199,4,1,1,Furnished,27286952.83
1699,5,1,1,Semi-Furnished,10937578.75
2773,4,1,2,Furnished,23256539.89
1674,5,4,1,Furnished,10797763.3
3806,4,1,3,Furnished,28103028.24
4432,3,1,3,Furnished,16424896.58
4649,3,3,1,Furnished,35748977.12
