Study_Hours,Attendance,Sleep_Hours,Internet_Use_Hrs,Grade
0.3,85,4.8,1.1,C
5.6,67,5.2,4.7,B
5.3,76,4.9,4.3,B
0.6,64,6.9,1.2,C
1.9,61,5.7,1.5,C
6.0,50,8.0,0.4,B
7.0,94,8.3,1.9,B
8.4,55,6.4,3.8,B
7.9,58,8.8,4.9,B
5.0,83,8.5,2.5,C
4.7,90,6.2,2.3,C
2.6,85,4.9,2.4,C
7.7,99,7.7,3.0,A
7.0,73,8.8,4.4,B
9.4,63,4.9,0.5,B
3.7,94,4.1,1.1,C
2.7,93,7.2,3.9,C
5.1,80,8.4,0.5,B
4.7,83,4.3,0.7,C
2.1,61,5.1,0.7,C
1.8,93,6.0,2.9,C
3.9,55,5.1,2.8,C
0.4,72,8.0,3.5,C
5.5,93,4.5,4.6,B
6.8,62,6.5,1.5,B
8.3,70,5.5,2.4,B
2.4,52,7.2,3.7,C
8.3,61,7.6,2.7,B
7.3,91,5.9,2.8,A
5.4,85,5.5,2.3,B
5.3,70,8.3,0.6,B
7.4,98,7.7,3.8,A
1.5,92,7.2,1.2,C
5.9,80,6.6,4.7,B
2.1,65,5.3,1.2,C
6.2,62,4.2,0.0,B
8.4,83,8.2,4.6,A
2.8,51,5.7,0.3,C
9.1,94,5.9,2.7,A
5.3,89,6.0,2.5,B
1.5,52,6.6,2.4,C
1.1,68,8.7,3.4,C
3.2,94,7.3,3.4,C
6.4,53,8.8,3.0,B
4.1,74,7.7,4.7,C
5.4,86,5.7,1.4,B
0.1,84,9.0,3.0,C
4.0,92,7.9,0.2,C
5.2,75,8.2,3.4,B
0.9,73,7.1,0.6,C
7.0,77,4.4,1.1,B
6.0,84,6.9,0.6,B
1.7,50,6.3,4.2,C
7.5,58,8.7,2.7,B
8.2,78,4.5,5.0,B
2.4,90,4.4,1.0,C
5.6,88,4.7,2.8,B
6.0,81,7.4,3.4,B
6.3,100,6.4,1.8,B
1.5,88,7.1,3.1,C
4.8,79,6.2,1.9,C
1.8,81,5.5,0.8,C
5.3,88,7.4,3.9,B
7.8,70,8.8,2.4,B
2.4,96,4.6,0.5,C
5.3,75,5.7,2.1,B
7.3,50,8.0,2.2,B
7.0,78,8.1,0.0,B
5.1,55,6.5,2.6,B
1.8,62,6.3,0.3,C
4.2,59,4.2,1.4,C
3.8,65,8.7,3.8,C
8.6,98,4.3,0.9,A
5.9,70,7.4,1.6,B
1.6,70,5.5,2.9,C
2.9,78,6.9,3.2,C
4.0,84,7.1,4.9,C
4.9,86,5.9,1.0,C
6.2,68,9.0,2.8,B
7.3,93,5.9,0.2,A
8.4,61,7.8,3.7,B
5.1,88,5.5,4.5,B
4.2,98,8.0,3.3,C
7.0,55,7.3,0.4,B
0.6,100,7.2,2.3,C
8.0,78,5.8,0.2,B
3.5,57,7.4,4.5,C
7.2,57,5.4,0.9,B
3.7,91,5.8,4.1,C
1.1,96,4.2,3.6,C
